Date,Category,Category_id,Price,Weight,Indent,Parent,Parent_ID
15/01/2009,Alcoholic beverages,7635,219.504,1.127,3,Food,4934
15/01/2009,All items,8106,211.143,100,0,,
15/01/2009,All items less energy,4604,216.97,92.376,1,All items,8106
15/01/2009,All items less food,3531,211.055,85.371,1,All items,8106
15/01/2009,All items less food and energy,5306,217.265,77.746,2,All items less energy,4604
15/01/2009,All items less medical care,2047,204.338,93.61,1,All items,8106
15/01/2009,All items less shelter,7199,200.133,66.8,1,All items,8106
15/01/2009,Apparel,5516,118.523,3.691,1,All items,8106
15/01/2009,Cereals and bakery products,2948,255.719,1.15,4,Food at home,4200
15/01/2009,Commodities,704,165.772,39.556,1,All items,8106
15/01/2009,Commodities less food,5867,141.335,24.926,1,All items,8106
15/01/2009,Commodities less food and beverages,3891,138.547,23.799,2,Commodities,704
15/01/2009,Commodities less food and energy commodities,4935,139.745,21.461,3,All items less food and energy,5306
15/01/2009,Communication,5970,84.926,3.194,2,Education and communication,1868
15/01/2009,Dairy and related products,5341,209.632,0.91,4,Food at home,4200
15/01/2009,Durables,2665,108.857,10.51,3,Commodities less food and beverages,3891
15/01/2009,Education,314,186.426,3.107,2,Education and communication,1868
15/01/2009,Education and communication,1868,125.9,6.301,1,All items,8106
15/01/2009,Educational books and supplies,5985,466.752,0.221,3,Education,314
15/01/2009,Energy,7558,181.938,7.624,1,All items,8106
15/01/2009,Energy commodities,8995,174.862,3.465,4,Commodities less food and energy commodities,4935
15/01/2009,Fats and oils,3612,205.904,0.241,5,Other food at home,4196
15/01/2009,Food,4934,219.193,14.629,2,Food and beverages,9257
15/01/2009,Food and beverages,9257,219.309,15.757,1,All items,8106
15/01/2009,Food at home,4200,218.879,8.156,3,Food,4934
15/01/2009,Food away from home,1345,221.319,6.474,3,Food,4934
15/01/2009,Footwear,7182,124.325,0.688,2,Apparel,5516
15/01/2009,Fruits and vegetables,9499,274.27,1.194,4,Food at home,4200
15/01/2009,Fuel oil and other fuels,416,256.21,0.301,4,Household energy,396
15/01/2009,Fuels and utilities,5463,217.515,5.431,2,Housing,6803
15/01/2009,Gas piped and electricity,856,202.12,4.159,4,Household energy,396
15/01/2009,Gasoline all types,789,166.839,2.964,4,Motor fuel,3840
15/01/2009,Hospital and related services,2710,550.035,1.545,3,Medical care services,7803
15/01/2009,Household energy,396,196.727,4.46,3,Fuels and utilities,5463
15/01/2009,Household furnishings and operations,9339,128.759,4.79,2,Housing,6803
15/01/2009,Household operations,8871,150.438,0.781,3,Household furnishings and operations,9339
15/01/2009,Housing,6803,217.646,43.421,1,All items,8106
15/01/2009,Infants’ and toddlers’ apparel,2101,114.014,0.183,2,Apparel,5516
15/01/2009,Information and information processing,8625,82.03,3.022,3,Communication,5970
15/01/2009,"Information technology, hardware and services",5358,9.919,0.614,4,Information and information processing,8625
15/01/2009,Lodging away from home,5762,139.122,2.478,3,Shelter,8742
15/01/2009,"Meats, poultry, fish, and eggs",8516,208.536,1.898,4,Food at home,4200
15/01/2009,Medical care,3411,369.914,6.39,1,All items,8106
15/01/2009,Medical care commodities,5635,299.887,1.625,2,Medical care,3411
15/01/2009,Medical care services,7803,391.533,4.765,2,Medical care,3411
15/01/2009,Men’s and boys’ apparel,2395,113.21,0.923,2,Apparel,5516
15/01/2009,Miscellaneous personal services,6567,341.123,1.074,3,Personal care,6986
15/01/2009,Motor fuel,3840,169.176,3.164,3,Private transportation,3815
15/01/2009,Motor vehicle maintenance and repair,9790,241.076,1.188,3,Private transportation,3815
15/01/2009,Motor vehicle parts and equipment,449,133.414,0.382,3,Private transportation,3815
15/01/2009,New and used motor vehicles,2973,91.534,6.931,3,Private transportation,3815
15/01/2009,New vehicles,4291,132.132,4.48,4,New and used motor vehicles,2973
15/01/2009,Nonalcoholic beverages and beverage materials,6387,163.804,0.982,4,Food at home,4200
15/01/2009,Nondurables,818,193.462,29.046,1,All items,8106
15/01/2009,Nondurables less food,6247,171.218,14.416,1,All items,8106
15/01/2009,Nondurables less food and apparel,5488,203.422,10.726,1,All items,8106
15/01/2009,Nondurables less food and beverages,7080,168.119,13.289,3,Commodities less food and beverages,3891
15/01/2009,"Nondurables less food, beverages, and apparel",1465,202.707,9.598,4,Nondurables less food and beverages,7080
15/01/2009,Other food at home,4196,192.914,2.022,4,Food at home,4200
15/01/2009,Other food away from home,1346,153.402,0.314,4,Food away from home,1345
15/01/2009,Other foods,9728,207.193,1.481,5,Fats and oils,3612
15/01/2009,Other goods and services,8488,350.529,3.386,1,All items,8106
15/01/2009,Other miscellaneous foods,5930,124.012,0.433,6,Other foods,9728
15/01/2009,Other services,6741,300.534,11.002,3,Services,9735
15/01/2009,Owners’ equivalent rent of primary residence,2972,255.349,24.433,3,Shelter,8742
15/01/2009,Personal care,6986,203.284,2.61,2,Other goods and services,8488
15/01/2009,Personal care products,1231,162.588,0.651,3,Personal care,6986
15/01/2009,Personal care services,1191,225.734,0.647,3,Personal care,6986
15/01/2009,Personal computers and peripheral equipment,980,88.522,0.214,5,"Information technology, hardware and services",5358
15/01/2009,Private transportation,3815,164.414,14.189,2,Transportation,6812
15/01/2009,Professional services,3965,316.115,2.702,3,Medical care services,7803
15/01/2009,Public transportation,4134,239.071,1.125,2,Transportation,6812
15/01/2009,Recreation,8575,114.022,5.741,1,All items,8106
15/01/2009,Rent of primary residence,4363,247.744,5.957,3,Shelter,8742
15/01/2009,Rent of shelter,8577,259.773,32.867,3,Services,9735
15/01/2009,Services,9735,258.406,60.444,1,All items,8106
15/01/2009,Services less energy services,1033,264.221,56.285,3,All items less food and energy,5306
15/01/2009,Services less medical care services,5145,247.839,55.679,1,All items,8106
15/01/2009,Services less rent of shelter,9058,277.056,27.577,1,All items,8106
15/01/2009,Shelter,8742,248.938,33.2,2,Housing,6803
15/01/2009,Sugar and sweets,7995,197.086,0.3,5,Other food at home,4196
15/01/2009,Telephone services,2405,101.88,2.408,4,Information and information processing,8625
15/01/2009,Tenants’ and household insurance,7981,120.402,0.333,3,Shelter,8742
15/01/2009,Tobacco and smoking products,949,607.403,0.776,2,Other goods and services,8488
15/01/2009,Transportation,6812,169.489,15.314,1,All items,8106
15/01/2009,Transportation services,6999,247.648,5.567,2,Services,9735
15/01/2009,"Tuition, other school fees, and childcare",2308,536.592,2.886,3,Education,314
15/01/2009,Used cars and trucks,2211,125.893,1.628,4,New and used motor vehicles,2973
15/01/2009,Video and audio,5618,101.677,1.822,2,Recreation,8575
15/01/2009,Water and sewer and trash collection services,3706,157.027,0.971,3,Fuels and utilities,5463
15/01/2009,Women’s and girls’ apparel,7374,106.47,1.541,2,Apparel,5516
15/02/2009,Alcoholic beverages,7635,219.141,1.127,3,Food,4934
15/02/2009,All items,8106,212.193,100,0,,
15/02/2009,All items less energy,4604,217.276,92.376,1,All items,8106
15/02/2009,All items less food,3531,212.061,85.371,1,All items,8106
15/02/2009,All items less food and energy,5306,217.67,77.746,2,All items less energy,4604
15/02/2009,All items less medical care,2047,205.148,93.61,1,All items,8106
15/02/2009,All items less shelter,7199,201.331,66.8,1,All items,8106
15/02/2009,Apparel,5516,120.039,3.691,1,All items,8106
15/02/2009,Cereals and bakery products,2948,254.347,1.15,4,Food at home,4200
15/02/2009,Commodities,704,167.199,39.556,1,All items,8106
15/02/2009,Commodities less food,5867,143.336,24.926,1,All items,8106
15/02/2009,Commodities less food and beverages,3891,140.611,23.799,2,Commodities,704
15/02/2009,Commodities less food and energy commodities,4935,140.3,21.461,3,All items less food and energy,5306
15/02/2009,Communication,5970,84.944,3.194,2,Education and communication,1868
15/02/2009,Dairy and related products,5341,204.537,0.91,4,Food at home,4200
15/02/2009,Durables,2665,108.993,10.51,3,Commodities less food and beverages,3891
15/02/2009,Education,314,187.249,3.107,2,Education and communication,1868
15/02/2009,Education and communication,1868,126.187,6.301,1,All items,8106
15/02/2009,Educational books and supplies,5985,468.101,0.221,3,Education,314
15/02/2009,Energy,7558,187.901,7.624,1,All items,8106
15/02/2009,Energy commodities,8995,186.872,3.465,4,Commodities less food and energy commodities,4935
15/02/2009,Fats and oils,3612,203.729,0.241,5,Other food at home,4196
15/02/2009,Food,4934,218.97,14.629,2,Food and beverages,9257
15/02/2009,Food and beverages,9257,219.076,15.757,1,All items,8106
15/02/2009,Food at home,4200,217.968,8.156,3,Food,4934
15/02/2009,Food away from home,1345,221.968,6.474,3,Food,4934
15/02/2009,Footwear,7182,125.209,0.688,2,Apparel,5516
15/02/2009,Fruits and vegetables,9499,275.374,1.194,4,Food at home,4200
15/02/2009,Fuel oil and other fuels,416,251.478,0.301,4,Household energy,396
15/02/2009,Fuels and utilities,5463,217.26,5.431,2,Housing,6803
15/02/2009,Gas piped and electricity,856,202.043,4.159,4,Household energy,396
15/02/2009,Gasoline all types,789,180.685,2.964,4,Motor fuel,3840
15/02/2009,Hospital and related services,2710,554.315,1.545,3,Medical care services,7803
15/02/2009,Household energy,396,196.415,4.46,3,Fuels and utilities,5463
15/02/2009,Household furnishings and operations,9339,129.008,4.79,2,Housing,6803
15/02/2009,Household operations,8871,150.156,0.781,3,Household furnishings and operations,9339
15/02/2009,Housing,6803,217.621,43.421,1,All items,8106
15/02/2009,Infants’ and toddlers’ apparel,2101,112.796,0.183,2,Apparel,5516
15/02/2009,Information and information processing,8625,82.052,3.022,3,Communication,5970
15/02/2009,"Information technology, hardware and services",5358,9.926,0.614,4,Information and information processing,8625
15/02/2009,Lodging away from home,5762,136.561,2.478,3,Shelter,8742
15/02/2009,"Meats, poultry, fish, and eggs",8516,208.389,1.898,4,Food at home,4200
15/02/2009,Medical care,3411,371.175,6.39,1,All items,8106
15/02/2009,Medical care commodities,5635,301.71,1.625,2,Medical care,3411
15/02/2009,Medical care services,7803,392.512,4.765,2,Medical care,3411
15/02/2009,Men’s and boys’ apparel,2395,116.328,0.923,2,Apparel,5516
15/02/2009,Miscellaneous personal services,6567,341.519,1.074,3,Personal care,6986
15/02/2009,Motor fuel,3840,182.03,3.164,3,Private transportation,3815
15/02/2009,Motor vehicle maintenance and repair,9790,241.689,1.188,3,Private transportation,3815
15/02/2009,Motor vehicle parts and equipment,449,134.108,0.382,3,Private transportation,3815
15/02/2009,New and used motor vehicles,2973,91.997,6.931,3,Private transportation,3815
15/02/2009,New vehicles,4291,133.199,4.48,4,New and used motor vehicles,2973
15/02/2009,Nonalcoholic beverages and beverage materials,6387,163.173,0.982,4,Food at home,4200
15/02/2009,Nondurables,818,195.833,29.046,1,All items,8106
15/02/2009,Nondurables less food,6247,175.672,14.416,1,All items,8106
15/02/2009,Nondurables less food and apparel,5488,209.425,10.726,1,All items,8106
15/02/2009,Nondurables less food and beverages,7080,172.896,13.289,3,Commodities less food and beverages,3891
15/02/2009,"Nondurables less food, beverages, and apparel",1465,209.39,9.598,4,Nondurables less food and beverages,7080
15/02/2009,Other food at home,4196,192.419,2.022,4,Food at home,4200
15/02/2009,Other food away from home,1346,154.726,0.314,4,Food away from home,1345
15/02/2009,Other foods,9728,206.838,1.481,5,Fats and oils,3612
15/02/2009,Other goods and services,8488,351.139,3.386,1,All items,8106
15/02/2009,Other miscellaneous foods,5930,122.58,0.433,6,Other foods,9728
15/02/2009,Other services,6741,301.506,11.002,3,Services,9735
15/02/2009,Owners’ equivalent rent of primary residence,2972,255.687,24.433,3,Shelter,8742
15/02/2009,Personal care,6986,203.328,2.61,2,Other goods and services,8488
15/02/2009,Personal care products,1231,162.508,0.651,3,Personal care,6986
15/02/2009,Personal care services,1191,225.895,0.647,3,Personal care,6986
15/02/2009,Personal computers and peripheral equipment,980,87.696,0.214,5,"Information technology, hardware and services",5358
15/02/2009,Private transportation,3815,168.067,14.189,2,Transportation,6812
15/02/2009,Professional services,3965,316.299,2.702,3,Medical care services,7803
15/02/2009,Public transportation,4134,234.648,1.125,2,Transportation,6812
15/02/2009,Recreation,8575,114.492,5.741,1,All items,8106
15/02/2009,Rent of primary residence,4363,248.087,5.957,3,Shelter,8742
15/02/2009,Rent of shelter,8577,259.487,32.867,3,Services,9735
15/02/2009,Services,9735,258.654,60.444,1,All items,8106
15/02/2009,Services less energy services,1033,264.5,56.285,3,All items less food and energy,5306
15/02/2009,Services less medical care services,5145,247.947,55.679,1,All items,8106
15/02/2009,Services less rent of shelter,9058,277.608,27.577,1,All items,8106
15/02/2009,Shelter,8742,248.881,33.2,2,Housing,6803
15/02/2009,Sugar and sweets,7995,196.99,0.3,5,Other food at home,4196
15/02/2009,Telephone services,2405,101.895,2.408,4,Information and information processing,8625
15/02/2009,Tenants’ and household insurance,7981,120.683,0.333,3,Shelter,8742
15/02/2009,Tobacco and smoking products,949,611.549,0.776,2,Other goods and services,8488
15/02/2009,Transportation,6812,172.759,15.314,1,All items,8106
15/02/2009,Transportation services,6999,248.567,5.567,2,Services,9735
15/02/2009,"Tuition, other school fees, and childcare",2308,539.023,2.886,3,Education,314
15/02/2009,Used cars and trucks,2211,123.757,1.628,4,New and used motor vehicles,2973
15/02/2009,Video and audio,5618,101.63,1.822,2,Recreation,8575
15/02/2009,Water and sewer and trash collection services,3706,157.141,0.971,3,Fuels and utilities,5463
15/02/2009,Women’s and girls’ apparel,7374,107.374,1.541,2,Apparel,5516
15/03/2009,Alcoholic beverages,7635,219.315,1.127,3,Food,4934
15/03/2009,All items,8106,212.709,100,0,,
15/03/2009,All items less energy,4604,217.539,92.376,1,All items,8106
15/03/2009,All items less food,3531,211.773,85.371,1,All items,8106
15/03/2009,All items less food and energy,5306,218.042,77.746,2,All items less energy,4604
15/03/2009,All items less medical care,2047,204.82,93.61,1,All items,8106
15/03/2009,All items less shelter,7199,200.911,66.8,1,All items,8106
15/03/2009,Apparel,5516,119.744,3.691,1,All items,8106
15/03/2009,Cereals and bakery products,2948,253.863,1.15,4,Food at home,4200
15/03/2009,Commodities,704,166.703,39.556,1,All items,8106
15/03/2009,Commodities less food,5867,142.788,24.926,1,All items,8106
15/03/2009,Commodities less food and beverages,3891,140.043,23.799,2,Commodities,704
15/03/2009,Commodities less food and energy commodities,4935,140.893,21.461,3,All items less food and energy,5306
15/03/2009,Communication,5970,84.924,3.194,2,Education and communication,1868
15/03/2009,Dairy and related products,5341,199.687,0.91,4,Food at home,4200
15/03/2009,Durables,2665,109.006,10.51,3,Commodities less food and beverages,3891
15/03/2009,Education,314,188.119,3.107,2,Education and communication,1868
15/03/2009,Education and communication,1868,126.461,6.301,1,All items,8106
15/03/2009,Educational books and supplies,5985,470.674,0.221,3,Education,314
15/03/2009,Energy,7558,182.254,7.624,1,All items,8106
15/03/2009,Energy commodities,8995,178.146,3.465,4,Commodities less food and energy commodities,4935
15/03/2009,Fats and oils,3612,204.029,0.241,5,Other food at home,4196
15/03/2009,Food,4934,218.651,14.629,2,Food and beverages,9257
15/03/2009,Food and beverages,9257,218.792,15.757,1,All items,8106
15/03/2009,Food at home,4200,217.202,8.156,3,Food,4934
15/03/2009,Food away from home,1345,222.216,6.474,3,Food,4934
15/03/2009,Footwear,7182,125.517,0.688,2,Apparel,5516
15/03/2009,Fruits and vegetables,9499,275.843,1.194,4,Food at home,4200
15/03/2009,Fuel oil and other fuels,416,232.191,0.301,4,Household energy,396
15/03/2009,Fuels and utilities,5463,214.254,5.431,2,Housing,6803
15/03/2009,Gas piped and electricity,856,199.289,4.159,4,Household energy,396
15/03/2009,Gasoline all types,789,173.498,2.964,4,Motor fuel,3840
15/03/2009,Hospital and related services,2710,557.588,1.545,3,Medical care services,7803
15/03/2009,Household energy,396,192.927,4.46,3,Fuels and utilities,5463
15/03/2009,Household furnishings and operations,9339,129.436,4.79,2,Housing,6803
15/03/2009,Household operations,8871,150.914,0.781,3,Household furnishings and operations,9339
15/03/2009,Housing,6803,217.335,43.421,1,All items,8106
15/03/2009,Infants’ and toddlers’ apparel,2101,113.51,0.183,2,Apparel,5516
15/03/2009,Information and information processing,8625,82.022,3.022,3,Communication,5970
15/03/2009,"Information technology, hardware and services",5358,9.872,0.614,4,Information and information processing,8625
15/03/2009,Lodging away from home,5762,133.328,2.478,3,Shelter,8742
